attraction,wait,time
Hollywood Rip Ride Rockit,15,09:15:00
Hollywood Rip Ride Rockit,15,09:20:00
Hollywood Rip Ride Rockit,15,09:25:00
Hollywood Rip Ride Rockit,15,09:30:00
Hollywood Rip Ride Rockit,15,09:35:00
Hollywood Rip Ride Rockit,15,09:40:00
Hollywood Rip Ride Rockit,10,09:45:00
Hollywood Rip Ride Rockit,10,09:50:00
Hollywood Rip Ride Rockit,10,09:55:00
Hollywood Rip Ride Rockit,10,10:00:00
Hollywood Rip Ride Rockit,10,10:05:00
Hollywood Rip Ride Rockit,10,10:10:00
Hollywood Rip Ride Rockit,10,10:15:00
Hollywood Rip Ride Rockit,10,10:20:00
Hollywood Rip Ride Rockit,10,10:25:00
Hollywood Rip Ride Rockit,10,10:30:00
Hollywood Rip Ride Rockit,15,10:35:00
Hollywood Rip Ride Rockit,15,10:40:00
Hollywood Rip Ride Rockit,25,10:45:00
Hollywood Rip Ride Rockit,25,10:50:00
Hollywood Rip Ride Rockit,40,10:55:00
Hollywood Rip Ride Rockit,40,11:00:00
Hollywood Rip Ride Rockit,40,11:05:00
Hollywood Rip Ride Rockit,40,11:10:00
Hollywood Rip Ride Rockit,40,11:15:00
Hollywood Rip Ride Rockit,40,11:20:00
Hollywood Rip Ride Rockit,25,11:25:00
Hollywood Rip Ride Rockit,25,11:30:00
Hollywood Rip Ride Rockit,25,11:35:00
Hollywood Rip Ride Rockit,40,11:40:00
Hollywood Rip Ride Rockit,40,11:45:00
Hollywood Rip Ride Rockit,60,11:50:00
Hollywood Rip Ride Rockit,60,11:55:00
Hollywood Rip Ride Rockit,75,12:00:00
Hollywood Rip Ride Rockit,75,12:05:00
Hollywood Rip Ride Rockit,60,12:10:00
Hollywood Rip Ride Rockit,60,12:15:00
Hollywood Rip Ride Rockit,35,12:20:00
Hollywood Rip Ride Rockit,35,12:25:00
Hollywood Rip Ride Rockit,35,12:30:00
Hollywood Rip Ride Rockit,35,12:35:00
Hollywood Rip Ride Rockit,35,12:40:00
Hollywood Rip Ride Rockit,35,12:45:00
Hollywood Rip Ride Rockit,35,12:50:00
Hollywood Rip Ride Rockit,35,12:55:00
Hollywood Rip Ride Rockit,35,13:00:00
Hollywood Rip Ride Rockit,35,13:05:00
Hollywood Rip Ride Rockit,35,13:10:00
Hollywood Rip Ride Rockit,35,13:15:00
Hollywood Rip Ride Rockit,35,13:20:00
Hollywood Rip Ride Rockit,20,13:25:00
Hollywood Rip Ride Rockit,20,13:30:00
