time,Despicable Me Minion Mayhem,ET Adventure,Fast & Furious - Supercharged,Harry Potter and the Escape from Gringotts,Hogwarts Express,Hollywood Rip Ride Rockit,MEN IN BLACK Alien Attack,Race Through New York Starring Jimmy Fallon,Revenge of the Mummy,TRANSFORMERS - The Ride 3D,The Simpsons Ride
09:00:00,25.11764706,11.95652174,10.234375,21.6875,12.88235294,14.61538462,7.363636364,6.666666667,11.52173913,9.295774648,11.25
09:05:00,32.86516854,11.89655172,10.49382716,22.07865169,12.72222222,13.4,8.024691358,7.101449275,11.69491525,9.135802469,11.38888889
09:10:00,36.5,12.16666667,10.47058824,25.48913043,12.74193548,19.63414634,7.988505747,7.278481013,11.72413793,8.75,11.62650602
09:15:00,40.11111111,12.16666667,10.35294118,26.77419355,12.7173913,21.22807018,7.954545455,7.37804878,11.55172414,8.764705882,11.70454545
09:20:00,43.51648352,12.34375,10.56818182,28.33333333,12.7173913,22.64285714,7.954545455,7.444444444,11.57894737,9.022988506,12.27777778
09:25:00,47.14285714,12.27272727,10.63218391,29.67741935,12.77173913,24.78571429,7.988505747,7.722222222,11.69491525,9.310344828,12.52747253
09:30:00,50.43956044,12.0212766,10.57471264,31.1827957,12.82608696,26.82432432,8.103448276,8.076923077,12.45762712,9.431818182,12.88888889
09:35:00,53.69565217,12,10.61797753,33.44086022,12.82608696,28.28947368,8.409090909,8.296703297,13.55932203,10.45454545,13
09:40:00,57.44565217,12.24137931,10.87209302,34.51086957,12.85714286,31.93333333,8.333333333,9.5,14.05172414,11.09195402,13.48314607
09:45:00,59.23913043,12.22972973,11.23595506,35.69892473,12.88043478,33.63636364,8.707865169,10.82417582,15.5,13.29545455,14.05555556
09:50:00,59.89130435,11.98795181,11.26373626,36.12903226,12.93478261,35.71428571,8.777777778,12.06521739,17.41666667,15.2247191,14.66666667
09:55:00,61.52173913,11.98863636,11.44444444,36.88172043,12.98913043,37.37179487,9.175824176,12.77173913,19.57627119,16.98863636,15.61111111
10:00:00,63.87096774,12.15909091,11.64835165,37.3655914,13.04347826,38.67088608,9.615384615,14.02173913,20.75,19.48863636,15.77777778
10:05:00,65.70652174,12.27272727,12.38888889,36.5,13.02197802,41.39240506,9.886363636,14.3956044,23.08333333,22.95454545,16.16666667
10:10:00,68.97849462,12.4137931,13.84615385,38.70967742,13.09782609,42.9375,10.16666667,15.38043478,25.16949153,25.11235955,16.92307692
10:15:00,70.05376344,12.61363636,14.50549451,38.60215054,13.15217391,44.21686747,10.66666667,16.39784946,26.46551724,27.92134831,16.7032967
10:20:00,71.98924731,13.25842697,15.27472527,39.51612903,13.15217391,47.19512195,11.48351648,18.27956989,28.27586207,29.94318182,17.08791209
10:25:00,73.22222222,13.43023256,16.76136364,40.72222222,13.14606742,46.28205128,11.30681818,20.05555556,29.81818182,31.91860465,18.06818182
10:30:00,75.31914894,13.84615385,17.91208791,41.64893617,13.22580645,50.91463415,11.84782609,20.58510638,31.77966102,34.01098901,19.07608696
10:35:00,76.84782609,14.5505618,19.28571429,42.2826087,13.26086957,51.48809524,12.33333333,20.21505376,31.03448276,36.39534884,20.49450549
10:40:00,78.01075269,14.88636364,19.56043956,42.25274725,13.26086957,52.90697674,12.64044944,20.86021505,31.16071429,38.50574713,21.48351648
10:45:00,80.2688172,16.42045455,20.27777778,43.79120879,13.31521739,53.25581395,13.82022472,20.2688172,29.29824561,40.17241379,24.13043478
10:50:00,81.94444444,17,22.55681818,44.38888889,13.36956522,54.76190476,14.82758621,21.41304348,31.51785714,41.41176471,25.97826087
10:55:00,83.13186813,17.16666667,23.08988764,44.56521739,13.02197802,56.36904762,15.33707865,21.39784946,32.58928571,43.19767442,27.3655914
11:00:00,83.09782609,17.91208791,25.16666667,46.12903226,13.09782609,57.29411765,15.78651685,22.18085106,34.64912281,45.68181818,28.88297872
11:05:00,82.47252747,18.66666667,28.73563218,46.59340659,13.11111111,58.25,16.40449438,21.79347826,38.62068966,48.11764706,30.16304348
11:10:00,83.36956522,19.67032967,30.05617978,47.27777778,13.2967033,59.04761905,17.61111111,23.70967742,38.10344828,49.75903614,30.91397849
11:15:00,84.34782609,20.05555556,31.79347826,47.94444444,13.46153846,62.07317073,18.44444444,24.56521739,39.40677966,49.82142857,31.50537634
11:20:00,83.49462366,19.94505495,32.60638298,49.06593407,13.42391304,64.05882353,18.68131868,25.05376344,40.5,50.51136364,32.76595745
11:25:00,83.09782609,20.38888889,33.44086022,49.55555556,13.46153846,63.48837209,20.11111111,25.65217391,42.75,51.88235294,32.79569892
11:30:00,83.75,20.82417582,34.46236559,49.72222222,13.95604396,63.08139535,20.49450549,26.79347826,42.03389831,52.4137931,31.55913978
11:35:00,83.15217391,21.15384615,35.2688172,51.16666667,13.95604396,65.17241379,21.59340659,27.93478261,42.41666667,53.27586207,31.12903226
11:40:00,82.79569892,21.75824176,34.24731183,50.98901099,13.57142857,65.63953488,21.81818182,29.07608696,43.83333333,52.02247191,31.07526882
11:45:00,83.20652174,22.88888889,34.38888889,53,13.72222222,67,23.23863636,29.89010989,45.33898305,53.02325581,31.0326087
11:50:00,83.26086957,24.38888889,34.66666667,53.38888889,13.83333333,67.29411765,24.5505618,29.7826087,45.6779661,52.61627907,32.22826087
11:55:00,83.04347826,25.43956044,35,55.2247191,13.94444444,65.29411765,25.625,30.32608696,45.17241379,53.90804598,32.60869565
12:00:00,83.69565217,27.03296703,35.71428571,55.27777778,14.05555556,66.76470588,26.22222222,30.86956522,45.60344828,54.65517241,32.88043478
